"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2050,"Vint_2050","Electricity Capacity by Fuel (GW)",200.549342726766
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2055,"Vint_2055","Electricity Capacity by Fuel (GW)",181.160436738739
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2060,"Vint_2060","Electricity Capacity by Fuel (GW)",170.196950937535
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2065,"Vint_2065","Electricity Capacity by Fuel (GW)",157.42842826605
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2070,"Vint_2070","Electricity Capacity by Fuel (GW)",143.826894887772
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2075,"Vint_2075","Electricity Capacity by Fuel (GW)",136.199328580919
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2080,"Vint_2080","Electricity Capacity by Fuel (GW)",134.637811195446
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2085,"Vint_2085","Electricity Capacity by Fuel (GW)",133.723724490124
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2090,"Vint_2090","Electricity Capacity by Fuel (GW)",138.620728408658
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2095,"Vint_2095","Electricity Capacity by Fuel (GW)",144.246802775263
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecCapByFuel","Year",2100,"Vint_2100","Electricity Capacity by Fuel (GW)",150.810876658124
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",1975,"Vint_1975","Electricity Consumption by Sector (TWh)",11.8386620833334
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",1990,"Vint_1990","Electricity Consumption by Sector (TWh)",94.3944071333341
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2005,"Vint_2005","Electricity Consumption by Sector (TWh)",355.153209905558
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2010,"Vint_2010","Electricity Consumption by Sector (TWh)",458.345319147226
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2015,"Vint_2015","Electricity Consumption by Sector (TWh)",504.674460888893
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2020,"Vint_2020","Electricity Consumption by Sector (TWh)",547.212477213893
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2025,"Vint_2025","Electricity Consumption by Sector (TWh)",569.806638570416
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2030,"Vint_2030","Electricity Consumption by Sector (TWh)",640.073347570539
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2035,"Vint_2035","Electricity Consumption by Sector (TWh)",717.545305951393
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2040,"Vint_2040","Electricity Consumption by Sector (TWh)",801.619713327531
