"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2099,"vint_2099","CO2 (GTC)",11.8254689289057
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2100,"vint_2100","CO2 (GTC)",11.9314978854862
"Reference","South Korea","South Korea","elecByTechTWh","Year",1990,"Vint_1990","Electricity Generation by Fuel (TWh)",99.4833281750008
"Reference","South Korea","South Korea","elecByTechTWh","Year",2005,"Vint_2005","Electricity Generation by Fuel (TWh)",364.947489188892
"Reference","South Korea","South Korea","elecByTechTWh","Year",2010,"Vint_2010","Electricity Generation by Fuel (TWh)",471.186336633337
"Reference","South Korea","South Korea","elecByTechTWh","Year",2015,"Vint_2015","Electricity Generation by Fuel (TWh)",521.74069255556
"Reference","South Korea","South Korea","elecByTechTWh","Year",2020,"Vint_2020","Electricity Generation by Fuel (TWh)",550.101550197135
"Reference","South Korea","South Korea","elecByTechTWh","Year",2025,"Vint_2025","Electricity Generation by Fuel (TWh)",601.263324694941
"Reference","South Korea","South Korea","elecByTechTWh","Year",2030,"Vint_2030","Electricity Generation by Fuel (TWh)",661.245542183553
"Reference","South Korea","South Korea","elecByTechTWh","Year",2035,"Vint_2035","Electricity Generation by Fuel (TWh)",716.364250944109
"Reference","South Korea","South Korea","elecByTechTWh","Year",2040,"Vint_2040","Electricity Generation by Fuel (TWh)",759.236555241331
"Reference","South Korea","South Korea","elecByTechTWh","Year",2045,"Vint_2045","Electricity Generation by Fuel (TWh)",777.205992294109
"Reference","South Korea","South Korea","elecByTechTWh","Year",2050,"Vint_2050","Electricity Generation by Fuel (TWh)",778.80090073309
"Reference","South Korea","South Korea","elecByTechTWh","Year",2055,"Vint_2055","Electricity Generation by Fuel (TWh)",771.49243246834
"Reference","South Korea","South Korea","elecByTechTWh","Year",2060,"Vint_2060","Electricity Generation by Fuel (TWh)",759.459229485562
"Reference","South Korea","South Korea","elecByTechTWh","Year",2065,"Vint_2065","Electricity Generation by Fuel (TWh)",744.106221463895
"Reference","South Korea","South Korea","elecByTechTWh","Year",2070,"Vint_2070","Electricity Generation by Fuel (TWh)",726.462502180839
"Reference","South Korea","South Korea","elecByTechTWh","Year",2075,"Vint_2075","Electricity Generation by Fuel (TWh)",705.063568605561
"Reference","South Korea","South Korea","elecByTechTWh","Year",2080,"Vint_2080","Electricity Generation by Fuel (TWh)",680.985782980561
"Reference","South Korea","South Korea","elecByTechTWh","Year",2085,"Vint_2085","Electricity Generation by Fuel (TWh)",655.379309483339
"Reference","South Korea","South Korea","elecByTechTWh","Year",2090,"Vint_2090","Electricity Generation by Fuel (TWh)",628.322331027783
"Reference","South Korea","South Korea","elecByTechTWh","Year",2095,"Vint_2095","Electricity Generation by Fuel (TWh)",601.312345588894
"Reference","South Korea","South Korea","elecByTechTWh","Year",2100,"Vint_2100","Electricity Generation by Fuel (TWh)",574.419760319449
"Reference","South Korea","South Korea","elecCapByFuel","Year",1990,"Vint_1990","Electricity Capacity by Fuel (GW)",11.1574370448658
"Reference","South Korea","South Korea","elecCapByFuel","Year",2005,"Vint_2005","Electricity Capacity by Fuel (GW)",46.6210185503524
"Reference","South Korea","South Korea","elecCapByFuel","Year",2010,"Vint_2010","Electricity Capacity by Fuel (GW)",62.7544401636034
"Reference","South Korea","South Korea","elecCapByFuel","Year",2015,"Vint_2015","Electricity Capacity by Fuel (GW)",71.4694497938313
"Reference","South Korea","South Korea","elecCapByFuel","Year",2020,"Vint_2020","Electricity Capacity by Fuel (GW)",76.9813825238532
"Reference","South Korea","South Korea","elecCapByFuel","Year",2025,"Vint_2025","Electricity Capacity by Fuel (GW)",87.7462180174472
"Reference","South Korea","South Korea","elecCapByFuel","Year",2030,"Vint_2030","Electricity Capacity by Fuel (GW)",103.927775819246
"Reference","South Korea","South Korea","elecCapByFuel","Year",2035,"Vint_2035","Electricity Capacity by Fuel (GW)",121.241131191867
"Reference","South Korea","South Korea","elecCapByFuel","Year",2040,"Vint_2040","Electricity Capacity by Fuel (GW)",135.934950693351
"Reference","South Korea","South Korea","elecCapByFuel","Year",2045,"Vint_2045","Electricity Capacity by Fuel (GW)",144.173766462299
"Reference","South Korea","South Korea","elecCapByFuel","Year",2050,"Vint_2050","Electricity Capacity by Fuel (GW)",148.807030328618
"Reference","South Korea","South Korea","elecCapByFuel","Year",2055,"Vint_2055","Electricity Capacity by Fuel (GW)",150.128671975423
"Reference","South Korea","South Korea","elecCapByFuel","Year",2060,"Vint_2060","Electricity Capacity by Fuel (GW)",149.264497297685
"Reference","South Korea","South Korea","elecCapByFuel","Year",2065,"Vint_2065","Electricity Capacity by Fuel (GW)",146.38906195208
"Reference","South Korea","South Korea","elecCapByFuel","Year",2070,"Vint_2070","Electricity Capacity by Fuel (GW)",141.714019255839
"Reference","South Korea","South Korea","elecCapByFuel","Year",2075,"Vint_2075","Electricity Capacity by Fuel (GW)",137.477643064421
"Reference","South Korea","South Korea","elecCapByFuel","Year",2080,"Vint_2080","Electricity Capacity by Fuel (GW)",135.422325064446
"Reference","South Korea","South Korea","elecCapByFuel","Year",2085,"Vint_2085","Electricity Capacity by Fuel (GW)",132.808697819857
"Reference","South Korea","South Korea","elecCapByFuel","Year",2090,"Vint_2090","Electricity Capacity by Fuel (GW)",129.9604412621
"Reference","South Korea","South Korea","elecCapByFuel","Year",2095,"Vint_2095","Electricity Capacity by Fuel (GW)",127.146097474668
"Reference","South Korea","South Korea","elecCapByFuel","Year",2100,"Vint_2100","Electricity Capacity by Fuel (GW)",124.279334571988
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",1975,"Vint_1975","Electricity Consumption by Sector (TWh)",11.8386620833334
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",1990,"Vint_1990","Electricity Consumption by Sector (TWh)",94.3944071333341
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2005,"Vint_2005","Electricity Consumption by Sector (TWh)",355.153209905558
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2010,"Vint_2010","Electricity Consumption by Sector (TWh)",458.345319147226
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2015,"Vint_2015","Electricity Consumption by Sector (TWh)",504.674460888893
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2020,"Vint_2020","Electricity Consumption by Sector (TWh)",533.147668000004
