"전력수요","원자력","유연탄","무연탄","바이오가스","부생가스","소수력","수력","양수","매립가스","중유","태양광","폐기물","풍력","LNG","LPG","연료전지","경유","해양에너지","바이오매스","IGCC","바이오중유","기타"
76817,15868.37018,29215.9424,328.971791,45.20291,121.653095,72.193949,325.461436,1135.898405,23.388574,51.843456,152.371829,134.315589,130.013775,23467.26437,0,553.785558,0,209.359416,528.334471,239.52712,185.461976,69.667014
73162,15883.65213,28980.5624,325.750786,45.366434,148.241314,76.563306,279.731083,880.584139,23.109977,51.464,77.83794,127.148117,98.696903,20661.73111,0,554.11312,0,146.14992,526.181254,239.53552,185.77468,68.944789
68861,15894.53377,28048.21669,325.860196,45.063227,225.523858,83.030423,170.788479,490.736939,23.168331,22.585472,26.354673,125.516289,102.06616,18095.81046,0,554.181089,0,46.476696,527.090715,240.09384,185.860528,68.902565
66924,15904.56083,27688.14964,293.683708,45.239342,53.494032,89.981693,113.9128,105.446113,23.076876,0,5.718429,122.367049,138.65435,17426.77696,0,554.426699,0,0,527.253567,241.57896,185.60304,68.125354
63085,15918.19754,27216.01867,269.643924,45.489068,39.348376,91.091782,104.841324,0,23.643195,0,1.618736,124.164501,157.0375,14390.48525,0,554.856198,0,0,527.009042,243.04504,185.528224,67.124788
60843,15927.4594,27571.91946,275.460898,45.152456,39.108895,92.045269,104.97617,0,23.831887,0,1.493169,123.035983,199.098664,12429.29566,0,555.146444,0,0,527.251807,240.28536,185.494736,67.641808
59382,15920.00426,27918.57633,275.96469,45.110684,39.21677,92.188343,105.053283,0,23.913028,0,0.868536,125.300304,223.122705,11872.52983,0,555.096252,0,0,529.791374,239.67216,185.526376,67.403807
58419,15913.05083,27851.64164,274.912102,45.175348,39.480753,88.661347,105.246999,0,23.466403,0,0.427476,129.399934,261.468245,11031.97933,0,555.300633,0,0,528.650817,240.25232,185.599176,66.815743
58018,15890.61561,27853.5765,276.054895,44.953481,39.626399,81.48893,105.263369,0,23.065037,0,0.076752,125.178555,263.20993,10646.67965,0,555.02298,0,0,529.155824,241.59968,185.589656,66.404444
58171,15882.61568,27687.58987,274.930531,45.151235,40.156126,74.187723,105.489688,0.049868,23.062159,0,0.137656,125.358182,274.653546,10817.17698,0,554.811471,0,22.216992,526.448721,240.51104,185.462592,67.047761
